firm name,website,ticker,hq country,hq state,hq city,permno,score,pbid,firm name from pitchbook,website from pitchbook,company profile,investor profile,limited partner profile,service provider profile,unnamed: 14
VTV THERAPEUTICS INC,vtvtherapeutics.com,VTVT,USA,NC,High Point,15542,Very High,51528-97,vTv Therapeutics,www.vtvtherapeutics.com,Yes,Yes,No,No,true
VULCAN MATERIALS CO,vulcanmaterials.com,VMC,USA,AL,Birmingham,15202,Very High,11618-83,Vulcan Materials Company,www.vulcanmaterials.com,Yes,Yes,Yes,No,true
VUZIX CORP,vuzix.com,VUZI,USA,NY,West Henrietta,15186,Very High,51356-62,Vuzix,www.vuzix.com,Yes,Yes,No,No,true
VWR CORP,vwr.com,VWR,USA,PA,Radnor,15023,Very High,10317-52,VWR International,www.vwr.com,Yes,Yes,No,No,true
W P CAREY INC,wpcarey.com,WPC,USA,NY,New York,85763,Very High,41122-45,W P Carey & Co.,wpcarey.com,Yes,Yes,No,No,true
W&T OFFSHORE INC,wtoffshore.com,WTI,USA,TX,Houston,90533,Very High,12064-42,W&T Offshore,www.wtoffshore.com,Yes,Yes,No,No,true
WABASH NATIONAL CORP,onewabash.com,WNC,USA,IN,Lafayette,77117,Very High,11767-60,Wabash National,www.wabashnational.com,Yes,Yes,No,No,true
WABCO HOLDINGS INC,wabco-auto.com,WBC,CHE,,Bern,92188,Very High,41633-65,WABCO,www.wabco-auto.com,Yes,Yes,No,No,true
WABTEC CORP,wabteccorp.com,WAB,USA,PA,Pittsburgh,81677,Very High,18861-76,Wabtec,www.wabteccorp.com,Yes,Yes,No,No,true
WADDELL&REED FINL INC  -CL A,waddell.com,WDR,USA,KS,Overland Park,85931,Very High,41063-50,Waddell & Reed,waddell.com,Yes,Yes,No,Yes,true
WAGEWORKS INC,wageworks.com,WAGE,USA,CA,San Mateo,13400,Very High,12254-23,WageWorks,www.wageworks.com,Yes,Yes,No,No,true
WAITR HOLDINGS INC,waitrapp.com,WTRH,USA,LA,Lafayette,16173,Very High,175066-48,"Asap (Lafayette, Louisiana)",www.asap.com,Yes,Yes,No,No,true
WALGREENS BOOTS ALLIANCE INC,walgreensbootsalliance.com,WBA,USA,IL,Deerfield,19502,Very High,10326-34,Walgreens Boots Alliance,www.walgreensbootsalliance.com,Yes,Yes,Yes,Yes,true
WALKER & DUNLOP INC,walkerdunlop.com,WD,USA,MD,Bethesda,12477,Very High,51164-38,Walker & Dunlop,www.walkerdunlop.com,Yes,Yes,No,Yes,true
WALMART INC,walmart.com,WMT,USA,AR,Bentonville,55976,Very High,11653-30,Walmart,www.walmart.com,Yes,Yes,Yes,No,true
WARBY PARKER INC,warbyparker.com,WRBY,USA,NY,New York,21905,Very High,52838-11,Warby Parker,www.warbyparker.com,Yes,Yes,No,No,true
WARNER BROS DISCOVERY INC,wbd.com,DISCA,USA,NY,New York,90805,Very High,11634-76,Warner Media,www.warnermedia.com,Yes,Yes,No,No,true
WARNER BROS DISCOVERY INC,wbd.com,WBD,USA,NY,New York,22976,Very High,11634-76,Warner Media,www.warnermedia.com,Yes,Yes,No,No,true
WARRIOR MET COAL INC,warriormetcoal.com,HCC,USA,AL,Brookwood,16653,Very High,13160-98,Warrior Met Coal,www.warriormetcoal.com,Yes,Yes,No,No,true
WASHINGTON FEDERAL INC,wafdbank.com,WAFD,USA,WA,Seattle,81577,Very High,41105-98,Washington Federal,www.wafdbank.com,Yes,Yes,No,Yes,true
WASHINGTON PRIME GROUP INC,washingtonprime.com,WPG,USA,OH,Columbus,14638,Very High,63227-71,Washington Prime Group,www.washingtonprime.com,Yes,Yes,No,No,true
WASHINGTON TR BANCORP INC,washtrust.com,WASH,USA,RI,Westerly,11397,Very High,41032-63,The Washington Trust Company of Westerly,www.washtrust.com,Yes,Yes,No,Yes,true
WASHINGTONFIRST BANKSHARES,,WFBI,USA,VA,Reston,13713,Very High,56194-66,WashingtonFirst Bank,www.wfbi.com,Yes,Yes,No,Yes,false
WASTE MANAGEMENT INC,wm.com,WM,USA,TX,Houston,11955,Very High,54200-53,Waste Management,www.wm.com,Yes,Yes,No,No,true
WATERS CORP,waters.com,WAT,USA,MA,Milford,82651,Very High,11929-24,Waters,www.waters.com,Yes,Yes,No,Yes,true
WATERSTONE FINANCIAL INC,wsbonline.com,WSBF,USA,WI,Wauwatosa,90961,Very High,42053-05,Waterstone Financial,,Yes,No,No,Yes,true
WATFORD HOLDINGS LTD,watfordre.com,WTRE,BMU,,Pembroke,18460,,,,,,,,,true
WATSCO INC,watsco.com,WSO,USA,FL,Miami,66376,Very High,25276-42,Watsco,www.watsco.com,Yes,Yes,No,No,true
WATTS WATER TECHNOLOGIES INC,watts.com,WTS,USA,MA,North Andover,10606,Very High,41229-19,Watts Water Technologies,www.watts.com,Yes,Yes,No,No,true
WAVE LIFE SCIENCES LTD,wavelifesciences.com,WVE,SGP,,Singapore,15857,High,107725-60,WaVe Life Sciences,www.wavelifesciences.com,Yes,No,No,No,true
WAYFAIR INC,wayfair.com,W,USA,MA,Boston,14983,Very High,52300-36,Wayfair,www.wayfair.com,Yes,Yes,Yes,No,true
WCI COMMUNITIES INC,wcicommunities.com,WCIC,USA,FL,Bonita Springs,14043,Very High,41489-29,WCI Communities,www.wcicommunities.com,Yes,Yes,No,No,true
WD-40 CO,wd40company.com,WDFC,USA,CA,San Diego,81294,Very High,41078-71,WD-40,www.wd40company.com,Yes,Yes,No,No,true
WEATHERFORD INTL PLC,weatherford.com,WFRD,USA,TX,Houston,32791,Very High,25277-14,Weatherford International,www.weatherford.com,Yes,Yes,No,No,true
WEB.COM GROUP INC,web.com,WEB,USA,FL,Jacksonville,90984,Very High,149742-19,Web.com Search Agency,www.submitawebsite.com,Yes,No,No,No,true
WEBER INC,weber.com,WEBR,USA,IL,Palatine,21789,Very High,51405-40,Weber-Stephen Products,www.weber.com,Yes,Yes,No,No,true
WEBMD HEALTH CORP,wbmd.com,WBMD,USA,NY,New York,90914,Very High,42051-34,WebMD,www.webmd.com,Yes,Yes,No,No,true
WEBSTER FINANCIAL CORP,websteronline.com,WBS,USA,CT,Stamford,10932,Very High,12786-85,Webster Financial,public.websteronline.com,Yes,Yes,No,Yes,true
WEC ENERGY GROUP INC,wecenergygroup.com,WEC,USA,WI,Milwaukee,23536,Very High,10736-92,WEC Energy Group,www.wecenergygroup.com,Yes,Yes,No,No,true
WEINGARTEN REALTY INVST,weingarten.com,WRI,USA,TX,Houston,68187,Very High,41121-73,Weingarten Realty,www.weingarten.com,Yes,Yes,No,No,true
WEIS MARKETS INC,weismarkets.com,WMK,USA,PA,Sunbury,42059,Very High,41185-54,Weis Markets,www.weismarkets.com,Yes,Yes,No,No,true
WELBILT INC,welbilt.com,WBT,USA,FL,New Port Richey,15921,,,,,,,,,
